size,stride,ns
4096,4,0.136441
4096,8,0.134386
4096,16,0.132278
4096,32,0.132906
4096,64,0.135771
4096,128,0.143779
4096,256,0.236993
4096,512,0.226408
4096,1024,0.259104
4096,2048,0.504986
8192,4,0.134898
8192,8,0.133432
8192,16,0.133819
8192,32,0.133352
8192,64,0.133765
8192,128,0.135769
8192,256,0.158555
8192,512,0.239555
8192,1024,0.245112
8192,2048,0.275685
8192,4096,0.478580
16384,4,0.134895
16384,8,0.134279
16384,16,0.135212
16384,32,0.135150
16384,64,0.136277
16384,128,0.133113
16384,256,0.134501
16384,512,0.142308
16384,1024,0.254485
16384,2048,0.297153
16384,4096,0.278851
16384,8192,0.466289
32768,4,0.136038
32768,8,0.134714
32768,16,0.136074
32768,32,0.135538
32768,64,0.134945
32768,128,0.134779
32768,256,0.131501
32768,512,0.142424
32768,1024,0.184072
32768,2048,0.374110
32768,4096,0.634131
32768,8192,0.272970
32768,16384,0.468036
65536,4,0.134658
65536,8,0.152074
65536,16,0.208350
65536,32,0.570317
65536,64,1.393602
65536,128,1.401234
65536,256,1.380708
65536,512,1.350593
65536,1024,2.365632
65536,2048,1.841841
65536,4096,3.073753
65536,8192,0.582493
65536,16384,0.265375
65536,32768,0.466942
131072,4,0.134278
131072,8,0.153092
131072,16,0.208906
131072,32,0.572585
131072,64,1.398225
131072,128,1.407886
131072,256,1.397229
131072,512,1.398290
131072,1024,2.448936
131072,2048,3.447409
131072,4096,4.043301
131072,8192,3.082126
131072,16384,0.631981
131072,32768,0.277514
131072,65536,0.472364
262144,4,0.134698
262144,8,0.161021
262144,16,0.252353
262144,32,0.652600
262144,64,1.539506
262144,128,1.557575
262144,256,1.560536
262144,512,1.522978
262144,1024,2.733964
262144,2048,3.705392
262144,4096,5.189272
262144,8192,5.216589
262144,16384,3.606683
262144,32768,1.009428
262144,65536,0.275992
262144,131072,0.473481
524288,4,0.136312
524288,8,0.172760
524288,16,0.326999
524288,32,0.812183
524288,64,1.860814
524288,128,1.993906
524288,256,2.106711
524288,512,1.686298
524288,1024,2.877694
524288,2048,3.965515
524288,4096,6.483253
524288,8192,5.812425
524288,16384,6.473014
524288,32768,4.801656
524288,65536,0.641487
524288,131072,0.261551
524288,262144,0.474982
1048576,4,0.139938
1048576,8,0.173006
1048576,16,0.331640
1048576,32,0.827347
1048576,64,1.895827
1048576,128,2.104470
1048576,256,2.245353
1048576,512,1.735828
1048576,1024,2.903454
1048576,2048,4.006426
1048576,4096,6.631956
1048576,8192,6.702465
1048576,16384,6.709412
1048576,32768,6.078230
1048576,65536,4.827045
1048576,131072,0.619906
1048576,262144,0.263026
1048576,524288,0.490127
2097152,4,0.149106
2097152,8,0.173935
2097152,16,0.331653
2097152,32,0.828317
2097152,64,1.896127
2097152,128,2.111509
2097152,256,2.271669
2097152,512,1.736407
2097152,1024,2.903998
2097152,2048,4.007760
2097152,4096,6.603926
2097152,8192,6.936583
2097152,16384,6.899411
2097152,32768,6.760274
2097152,65536,5.946320
2097152,131072,4.808393
2097152,262144,0.646510
2097152,524288,0.277669
2097152,1048576,0.522080
4194304,4,0.139140
4194304,8,0.174496
4194304,16,0.331319
4194304,32,0.833314
4194304,64,1.900436
4194304,128,2.114109
4194304,256,2.276917
4194304,512,1.740123
4194304,1024,2.892497
4194304,2048,3.944849
4194304,4096,6.533575
4194304,8192,6.740922
4194304,16384,6.627085
4194304,32768,6.448567
4194304,65536,5.853408
4194304,131072,5.685101
4194304,262144,4.496696
4194304,524288,0.660014
4194304,1048576,1.682507
4194304,2097152,0.546148
8388608,4,0.148593
8388608,8,0.243602
8388608,16,0.487976
8388608,32,1.082196
8388608,64,2.265420
8388608,128,2.617114
8388608,256,2.765853
8388608,512,2.184647
8388608,1024,3.159362
8388608,2048,4.268842
8388608,4096,7.747679
8388608,8192,6.679542
8388608,16384,6.660579
8388608,32768,6.705416
8388608,65536,6.053735
8388608,131072,5.228466
8388608,262144,5.021067
8388608,524288,6.779784
8388608,1048576,2.717242
8388608,2097152,2.625496
